,location,total_sqft,bath,price,bhk,encoded_loc
1385,Horamavu Agara,950.0,2,39.0,2,98
1386,TC Palaya,1200.0,2,70.0,2,207
1387,Akshaya Nagar,1476.0,3,120.0,3,11
1388,CV Raman Nagar,1070.0,2,55.0,2,53
1389,EPIP Zone,2160.0,4,172.0,3,73
1390,Sector 2 HSR Layout,1296.0,2,75.0,2,196
1391,Chikkalasandra,1800.0,1,128.0,2,59
1392,Kanakpura Road,1570.0,3,64.5,3,127
1393,Sarjapur,1550.0,2,65.0,4,193
1394,Electronic City,770.0,1,40.0,2,74
1395,Jalahalli,1870.0,3,110.0,3,111
1396,Domlur,1429.0,3,86.0,3,71
1397,Babusapalaya,1167.0,2,39.98,3,24
1398,Bommasandra,1035.0,2,41.73,2,48
1399,Kengeri,1188.0,2,38.0,3,135
1400,Sarjapur,1576.0,3,76.0,3,193
1401,Nagarbhavi,884.0,2,36.0,1,169
1402,Hoodi,1026.0,2,60.87,2,97
1403,Kaikondrahalli,1115.0,2,50.0,2,120
1404,Old Airport Road,2690.0,4,191.0,4,176
1405,Subramanyapura,975.0,2,58.0,2,205
1406,OMBR Layout,1101.0,2,65.5,2,175
1407,Sarjapur  Road,1700.0,3,135.0,3,194
1408,Kanakpura Road,1560.0,3,92.0,3,127
1409,Old Madras Road,3630.0,6,195.0,4,177
1410,Hebbal,2790.0,4,198.0,4,92
1411,others,1494.0,2,94.55,3,230
1412,Hennur Road,1482.0,2,87.0,3,96
1413,others,800.0,2,50.0,2,230
1414,Raja Rajeshwari Nagar,1185.0,2,47.39,2,184
1415,Hulimavu,1100.0,2,71.5,2,105
1416,Hulimavu,1758.0,3,65.0,3,105
1417,Banaswadi,1145.0,2,55.0,2,31
1418,Hormavu,1180.0,2,50.0,2,100
1419,others,1260.0,2,58.0,2,230
1420,Yelahanka,3461.0,0,173.0,4,226
1421,Arekere,1190.0,2,55.0,2,20
1422,Sarjapur  Road,1691.0,3,119.0,3,194
1423,Frazer Town,1305.0,3,95.45,3,77
1424,Kogilu,1140.0,2,50.66,2,142
1425,others,1250.0,2,65.0,2,230
1426,others,1225.0,2,48.0,2,230
1427,Kereguddadahalli,800.0,2,28.0,2,137
1428,Jalahalli East,1020.0,2,58.0,2,112
1429,others,1350.0,2,80.0,2,230
1430,Anekal,925.0,2,40.0,2,17
1431,others,2000.0,3,100.0,3,230
1432,Frazer Town,1510.0,2,75.0,3,77
1433,others,1614.0,3,110.0,3,230
1434,Gottigere,1200.0,2,95.0,2,82
1435,TC Palaya,900.0,2,55.0,2,207
1436,OMBR Layout,1041.0,2,65.5,2,175
1437,Marathahalli,1530.0,3,74.5,3,161
1438,Bannerghatta Road,1200.0,2,75.0,2,34
1439,Hosur Road,1508.0,2,110.0,3,104
1440,others,1188.0,2,73.0,2,230
1441,Old Airport Road,2690.0,4,199.0,4,176
1442,Harlur,1174.0,2,76.0,2,91
1443,Old Madras Road,1350.0,3,58.99,3,177
1444,Kengeri,726.0,2,31.0,2,135
1445,Hosur Road,1345.0,2,106.0,2,104
1446,Begur Road,1200.0,2,45.0,2,39
1447,Nagavarapalya,980.0,2,37.0,2,172
1448,Hormavu,1050.0,2,77.0,2,100
1449,Uttarahalli,993.0,2,39.71,2,216
1450,7th Phase JP Nagar,1300.0,2,52.0,3,6
1451,Vittasandra,1743.0,3,85.0,3,223
1452,Hormavu,1200.0,2,67.0,2,100
1453,Sarjapur,950.0,2,32.5,2,193
1454,Electronic City Phase II,972.0,2,44.0,2,75
1455,Marathahalli,1840.0,3,98.0,3,161
1456,Electronic City,1128.0,2,64.0,2,74
1457,others,680.0,2,42.0,2,230
1458,others,2400.0,2,95.0,2,230
1459,others,1045.0,2,42.0,2,230
1460,others,955.0,2,53.55,2,230
1461,Doddakallasandra,1360.0,2,54.39,3,69
1462,BTM Layout,1150.0,2,63.0,2,23
1463,others,1115.0,2,56.87,2,230
1464,Jigani,920.0,2,46.0,2,113
1465,Bommasandra Industrial Area,1030.0,2,41.0,2,49
1466,Thanisandra,1564.0,3,101.0,3,209
1467,Uttarahalli,1045.0,2,45.0,2,216
1468,Subramanyapura,1277.0,2,55.0,2,205
1469,Sarjapur  Road,1846.0,3,140.0,3,194
1470,others,1690.0,3,75.0,3,230
1471,Hormavu,1200.0,3,70.0,2,100
1472,Yelahanka,3042.0,4,131.0,4,226
1473,others,1068.0,2,40.05,2,230
1474,Kanakpura Road,1135.0,2,58.0,2,127
1475,others,1925.0,3,120.0,3,230
1476,Begur Road,1615.0,3,60.0,3,39
1477,others,650.0,1,26.0,1,230
1478,Kaggadasapura,1150.0,2,42.0,2,118
1479,others,1410.0,2,45.12,3,230
1480,Tumkur Road,1354.0,3,90.0,3,214
1481,Arekere,600.0,1,28.0,1,20
1482,Koramangala,1600.0,3,88.0,3,144
1483,Kanakpura Road,3500.0,6,225.0,4,127
1484,GM Palaya,1000.0,2,36.0,2,78
1485,others,1130.0,3,38.0,3,230
1486,Vittasandra,1238.0,2,67.0,2,223
1487,Kudlu Gate,1364.0,2,46.38,3,148
1488,others,900.0,2,45.0,2,230
1489,Gubbalala,1745.0,3,104.0,3,84
1490,Kogilu,1200.0,2,53.33,2,142
1491,Kanakapura,1020.0,2,42.83,2,126
1492,Banashankari Stage III,1650.0,3,118.0,3,28
1493,others,1550.0,2,70.0,3,230
1494,5th Phase JP Nagar,1440.0,2,60.0,2,4
1495,Sarjapura - Attibele Road,1329.0,2,45.95,3,195
1496,others,916.0,2,42.0,2,230
1497,Hulimavu,688.0,1,50.0,1,105
1498,others,1358.0,3,50.0,3,230
1499,Kanakpura Road,1331.0,2,107.0,2,127
1500,Hoodi,1050.0,2,50.0,2,97
1501,Talaghattapura,2106.0,3,126.0,3,208
1502,Bhoganhalli,1718.0,3,90.2,3,43
1503,Raja Rajeshwari Nagar,1530.0,3,57.0,3,184
1504,5th Block Hbr Layout,1206.0,2,56.0,2,3
1505,Hebbal,1075.0,2,52.0,2,92
1506,Sarjapur  Road,1200.0,3,95.0,3,194
1507,Nagavara,2172.65,3,120.0,4,171
1508,Sahakara Nagar,1100.0,2,75.0,3,190
1509,others,1685.0,2,110.0,3,230
1510,CV Raman Nagar,740.0,2,37.0,2,53
1511,Magadi Road,1500.0,2,93.0,4,155
1512,Banashankari,1800.0,3,115.0,3,26
1513,Yelachenahalli,1700.0,3,130.0,3,225
1514,Uttarahalli,850.0,2,37.93,2,216
1515,Hennur Road,1891.0,3,139.0,3,96
1516,Jalahalli,1400.0,1,80.0,2,111
1517,Lakshminarayana Pura,1172.0,2,82.0,2,153
1518,Sonnenahalli,896.0,2,43.75,2,204
1519,Vijayanagar,1180.0,2,65.0,2,220
1520,others,850.0,2,33.0,2,230
1521,Anekal,530.0,1,18.0,1,17
1522,others,1550.0,3,110.0,3,230
1523,Kanakapura,1699.0,3,97.0,3,126
1524,Bellandur,2025.0,4,109.0,4,40
1525,others,500.0,1,20.0,1,230
1526,others,1146.0,2,38.5,2,230
1527,Seegehalli,800.0,1,50.0,2,198
1528,Abbigere,765.0,2,30.0,1,10
1529,Lingadheeranahalli,1521.0,3,94.99,3,154
1530,Gottigere,1600.0,2,55.0,3,82
1531,others,1765.0,3,105.0,3,230
1532,Kasavanhalli,1980.0,3,88.0,3,130
1533,Amruthahalli,1900.0,3,135.0,3,14
1534,others,1265.0,2,70.0,2,230
1535,Bommasandra,1034.0,2,40.0,2,48
1536,others,1012.0,2,59.0,2,230
1537,Electronic City,1070.0,2,54.0,2,74
1538,Mahadevpura,3555.0,4,230.0,4,156
1539,5th Block Hbr Layout,1270.0,2,70.0,3,3
1540,others,2045.0,4,154.0,3,230
1541,Bellandur,1490.0,2,98.0,3,40
1542,Mysore Road,883.0,2,40.0,2,166
1543,Yeshwanthpur,671.0,1,36.85,1,229
1544,Haralur Road,2017.0,3,125.0,3,90
1545,Thigalarapalya,3122.0,6,235.0,4,210
1546,Ramagondanahalli,1635.0,3,62.0,3,187
1547,Kanakpura Road,1296.0,2,89.0,2,127
1548,Budigere,1139.0,2,62.0,2,52
1549,CV Raman Nagar,1230.0,3,47.0,2,53
1550,others,581.91,2,25.0,1,230
1551,Binny Pete,1245.0,2,86.28,2,45
1552,others,1158.0,2,85.0,3,230
1553,Marathahalli,3951.0,4,220.0,4,161
1554,Ramamurthy Nagar,360.0,1,26.0,1,188
1555,Electronics City Phase 1,1350.0,3,55.0,3,76
1556,Green Glen Layout,1670.0,3,120.0,3,83
1557,Akshaya Nagar,1600.0,2,65.0,3,11
1558,Horamavu Banaswadi,1307.0,2,51.6,2,99
1559,7th Phase JP Nagar,1050.0,2,57.0,3,6
1560,Hennur Road,1703.0,3,101.0,3,96
1561,Kaggalipura,1210.0,2,58.0,3,119
1562,7th Phase JP Nagar,1343.0,2,56.41,3,6
1563,R.T. Nagar,1560.0,3,85.0,3,182
1564,others,925.0,2,51.0,2,230
1565,Kanakpura Road,1420.0,2,75.0,3,127
1566,others,1415.0,2,110.0,2,230
1567,others,1210.0,2,60.0,2,230
1568,Hoskote,1250.0,3,50.0,3,103
1569,9th Phase JP Nagar,1100.0,2,65.0,2,8
1570,others,1150.0,2,40.25,2,230
1571,Jakkur,1100.0,2,53.35,2,110
1572,Magadi Road,1350.0,1,100.0,2,155
1573,Panathur,1546.0,3,99.0,3,180
1574,Ambedkar Nagar,1424.0,2,90.0,2,13
1575,Bellandur,1398.0,3,68.0,3,40
1576,Brookefield,1476.0,3,105.0,3,51
1577,Magadi Road,1322.0,2,58.82,3,155
1578,others,1100.0,2,55.0,2,230
1579,Sarjapur,1285.0,2,68.0,3,193
1580,Ambalipura,1150.0,2,80.0,2,12
1581,Thanisandra,1430.0,2,56.0,3,209
1582,Marathahalli,1350.0,2,62.0,3,161
1583,Thubarahalli,1185.0,2,65.0,2,211
1584,Bannerghatta Road,1760.0,3,67.0,3,34
1585,Kanakpura Road,900.0,2,41.0,2,127
1586,Kanakpura Road,1297.0,2,105.0,2,127
1587,Ramamurthy Nagar,950.0,2,50.79,2,188
1588,BTM 2nd Stage,950.0,2,52.0,2,22
1589,Yeshwanthpur,1277.5,2,95.815,2,229
1590,Electronic City,1571.0,3,89.0,3,74
1591,Electronic City Phase II,1031.0,2,55.0,2,75
1592,Whitefield,1485.0,2,90.0,2,224
1593,Ananth Nagar,1109.0,2,60.0,2,16
1594,Koramangala,2200.0,3,180.0,3,144
1595,Whitefield,950.0,1,50.0,1,224
1596,Electronic City Phase II,1003.0,2,40.6,2,75
1597,9th Phase JP Nagar,1080.0,2,37.0,2,8
1598,Hulimavu,1255.0,2,73.0,2,105
1599,Banaswadi,1250.0,2,60.0,2,31
1600,Ramamurthy Nagar,1200.0,2,66.0,3,188
1601,others,824.0,2,60.0,2,230
1602,Kothanur,9600.0,5,550.0,5,146
1603,Uttarahalli,1330.0,2,47.0,3,216
1604,Kaikondrahalli,1220.0,3,56.0,3,120
1605,Electronic City,1111.0,3,50.0,3,74
1606,Kothannur,1197.0,2,47.88,2,145
1607,Marathahalli,2519.0,5,185.0,4,161
1608,others,1340.0,2,100.0,3,230
1609,Hoodi,1837.0,3,145.0,3,97
1610,Kudlu Gate,1238.0,2,55.0,2,148
1611,7th Phase JP Nagar,1405.0,2,59.01,3,6
1612,Doddaballapur,1690.0,3,80.0,4,68
1613,others,1620.0,2,110.0,3,230
1614,Kanakpura Road,1673.0,3,115.0,3,127
1615,Margondanahalli,1090.0,2,58.0,2,162
1616,Varthur,1112.0,2,40.0,2,217
1617,Marathahalli,1385.0,2,66.65,3,161
1618,Subramanyapura,985.0,2,58.0,2,205
1619,Kanakpura Road,825.0,1,36.29,1,127
1620,Kanakpura Road,1080.0,2,37.8,2,127
1621,Hosa Road,1430.0,2,97.52,2,101
1622,Kengeri Satellite Town,1050.0,2,43.0,2,136
1623,Kumaraswami Layout,2000.0,4,139.0,4,149
1624,Banashankari Stage VI,4800.0,4,190.0,4,30
1625,others,1533.0,3,115.0,3,230
1626,Prithvi Layout,1352.0,2,87.5,2,181
1627,Harlur,1754.0,3,125.0,3,91
1628,others,1560.0,3,85.0,3,230
1629,Whitefield,3584.0,4,199.0,4,224
1630,Channasandra,1470.0,2,90.0,3,56
1631,9th Phase JP Nagar,1035.0,2,45.0,2,8
1632,Kammanahalli,1160.0,2,52.0,2,124
1633,Jakkur,1100.0,2,52.0,2,110
1634,Horamavu Agara,1170.0,2,38.0,2,98
1635,Bannerghatta Road,595.0,1,31.83,1,34
1636,HSR Layout,1650.0,3,110.0,3,89
1637,others,1375.0,2,48.06,3,230
1638,Ramagondanahalli,1235.0,2,46.8,2,187
1639,others,750.0,1,25.0,1,230
1640,7th Phase JP Nagar,1400.0,3,115.0,3,6
1641,others,1270.0,2,50.79,3,230
1642,Bannerghatta Road,1105.0,2,51.0,2,34
1643,others,1375.0,2,85.0,3,230
1644,Attibele,2168.0,4,95.0,4,21
1645,Yelahanka,1065.0,2,40.84,2,226
1646,Whitefield,825.0,1,45.0,1,224
1647,others,1095.0,2,40.0,2,230
1648,others,1440.0,2,60.33,3,230
1649,Electronic City,870.0,2,39.5,2,74
1650,Panathur,1195.0,2,84.0,2,180
1651,others,1200.0,2,49.5,2,230
1652,Raja Rajeshwari Nagar,1530.0,3,61.2,3,184
1653,Padmanabhanagar,1708.0,2,90.5,3,178
1654,others,975.0,2,43.0,2,230
1655,KR Puram,750.0,2,25.0,2,115
1656,Iblur Village,1920.0,3,130.0,3,107
1657,Thanisandra,1183.0,2,58.56,2,209
1658,Mico Layout,1550.0,2,65.0,3,163
1659,Kaggadasapura,1110.0,2,53.0,2,118
1660,Kaggadasapura,1105.0,2,38.67,2,118
1661,Anekal,1800.0,3,68.0,3,17
1662,others,2800.0,4,200.0,5,230
1663,Bommanahalli,1000.0,2,29.9,2,47
1664,Prithvi Layout,1190.0,2,68.0,2,181
1665,Hebbal,3067.0,4,230.0,4,92
1666,Sarjapur  Road,1929.0,4,103.0,3,194
1667,Ramamurthy Nagar,1525.0,3,100.0,3,188
1668,Nehru Nagar,1775.0,3,110.0,3,174
1669,Banashankari,1125.0,2,63.0,2,26
1670,others,900.0,2,42.0,2,230
1671,Sarjapur  Road,1155.0,2,58.0,2,194
1672,Sonnenahalli,1268.0,2,73.0,2,204
1673,others,1500.0,3,88.0,3,230
1674,Electronic City,630.0,1,47.0,1,74
1675,Seegehalli,1525.0,3,65.0,3,198
1676,Kaggadasapura,1060.0,2,48.0,2,118
1677,Lingadheeranahalli,1687.0,3,127.0,3,154
1678,Thanisandra,1847.0,3,123.0,3,209
1679,Begur Road,1410.0,2,53.0,3,39
1680,7th Phase JP Nagar,1075.0,2,42.99,2,6
1681,others,1010.0,2,46.0,2,230
1682,Kanakpura Road,983.0,2,50.6,2,127
1683,Kasturi Nagar,1101.0,2,65.0,2,131
1684,others,1140.0,2,76.0,2,230
1685,Kengeri Satellite Town,1007.0,2,42.0,2,136
1686,Bellandur,2039.0,3,168.0,3,40
1687,others,1198.0,2,84.0,2,230
1688,others,1370.0,2,75.0,2,230
1689,others,1316.0,2,55.5,2,230
1690,Kaggadasapura,1350.0,3,55.5,3,118
1691,others,1050.0,2,43.0,2,230
1692,KR Puram,1128.76,3,47.405,3,115
1693,Electronic City,921.0,2,34.0,2,74
1694,Kundalahalli,1010.0,2,49.27,2,150
1695,KR Puram,1015.0,2,43.0,2,115
1696,TC Palaya,1200.0,2,66.5,3,207
1697,Lakshminarayana Pura,1179.0,2,75.0,2,153
1698,Anjanapura,1850.0,4,86.0,4,18
1699,Bellandur,1605.0,3,85.0,3,40
1700,Banashankari Stage VI,2800.0,4,89.0,4,30
1701,others,2400.0,7,110.0,6,230
1702,others,1000.0,1,55.0,2,230
1703,Ramamurthy Nagar,1200.0,2,80.0,2,188
1704,Kammasandra,1200.0,2,66.0,2,125
1705,others,1200.0,2,50.0,2,230
1706,Hennur,1255.0,2,57.5,2,95
1707,Kanakpura Road,1592.0,3,125.0,3,127
1708,others,1313.0,2,58.27,2,230
1709,Kogilu,1934.0,3,150.0,3,142
1710,Harlur,1200.0,2,49.5,2,91
1711,Uttarahalli,3600.0,6,120.0,6,216
1712,Old Madras Road,935.0,2,45.0,2,177
1713,Bommasandra,877.0,2,30.0,2,48
1714,others,936.0,2,42.0,2,230
1715,Nagasandra,1470.0,2,110.0,3,170
1716,others,1050.0,1,70.0,1,230
1717,Hennur Road,1232.0,2,69.61,2,96
1718,Ambedkar Nagar,2225.0,4,169.0,3,13
1719,others,1200.0,2,80.0,3,230
1720,Dasarahalli,1901.0,3,119.0,3,64
1721,Sarjapur  Road,1819.0,3,100.0,3,194
1722,Old Madras Road,3715.0,6,200.5,4,177
1723,9th Phase JP Nagar,5000.0,4,290.0,4,8
1724,others,1256.0,2,60.0,2,230
1725,7th Phase JP Nagar,1100.0,2,44.0,2,6
1726,TC Palaya,4800.0,3,302.0,4,207
1727,Kothanur,1435.0,3,70.0,3,146
1728,6th Phase JP Nagar,3245.0,4,250.0,4,5
1729,Sarjapur  Road,1845.0,4,110.0,3,194
1730,Jigani,2400.0,4,130.0,3,113
1731,Ulsoor,1200.0,2,60.0,2,215
1732,Talaghattapura,2254.0,3,170.0,3,208
1733,others,1020.0,2,37.0,2,230
1734,Bommanahalli,515.0,1,25.0,1,47
1735,Lingadheeranahalli,1893.0,3,140.0,3,154
1736,others,830.0,2,34.0,2,230
1737,Kasavanhalli,1200.0,2,78.0,2,130
1738,Sarjapur  Road,1233.0,2,77.65,2,194
1739,Bannerghatta Road,1255.0,2,65.26,2,34
1740,Begur Road,1200.0,2,37.8,2,39
1741,Varthur,2145.0,3,175.0,3,217
1742,Kothannur,740.0,2,34.0,2,145
1743,Kengeri,1250.0,3,48.0,3,135
1744,others,1210.0,2,40.0,2,230
1745,Sarjapur  Road,1525.0,2,60.0,3,194
1746,Kogilu,540.0,1,36.0,1,142
1747,Tumkur Road,1240.0,2,84.0,3,214
1748,Subramanyapura,1245.0,2,68.0,3,205
1749,Hosa Road,1104.0,2,36.43,2,101
1750,Bisuvanahalli,1075.0,2,35.99,3,46
1751,Whitefield,1155.0,2,60.0,2,224
1752,others,1520.0,2,62.0,2,230
1753,Thigalarapalya,3122.0,6,245.0,4,210
1754,Harlur,1290.0,2,85.0,2,91
1755,others,2300.0,3,80.0,3,230
1756,Kannamangala,3000.0,4,200.0,4,128
1757,others,400.0,1,14.0,1,230
1758,Banashankari,1340.0,2,53.6,3,26
1759,Hennur Road,987.0,2,49.0,2,96
1760,Old Madras Road,1720.0,3,100.0,3,177
1761,Hebbal,1040.0,2,50.0,2,92
1762,Anandapura,900.0,2,64.0,2,15
1763,Raja Rajeshwari Nagar,1030.0,2,50.0,2,184
1764,Neeladri Nagar,2556.0,3,133.0,3,173
1765,Balagere,1028.0,2,31.86,2,25
1766,7th Phase JP Nagar,1270.0,2,83.0,2,6
1767,Sahakara Nagar,1655.0,3,115.0,3,190
1768,Electronics City Phase 1,940.0,2,40.0,2,76
1769,Domlur,1050.0,2,85.0,2,71
1770,others,946.0,2,38.0,2,230
1771,Vittasandra,1404.0,2,75.0,2,223
1772,Sarjapur,1525.0,2,48.0,3,193
1773,Kengeri,1025.0,2,57.0,2,135
1774,others,860.0,1,43.0,2,230
1775,Talaghattapura,1223.0,2,42.81,3,208
1776,Kothannur,1197.0,2,47.8,2,145
1777,Garudachar Palya,1150.0,2,52.75,2,79
1778,R.T. Nagar,1040.0,2,46.0,2,182
1779,Banashankari,1310.0,2,80.0,2,26
1780,Uttarahalli,1788.0,3,98.34,3,216
1781,Raja Rajeshwari Nagar,1144.0,2,38.55,2,184
1782,Anjanapura,1070.0,2,39.0,2,18
1783,others,1200.0,2,70.0,2,230
1784,Ambedkar Nagar,1862.0,3,120.0,3,13
1785,Margondanahalli,1200.0,2,58.5,2,162
1786,Kasavanhalli,1646.0,3,79.5,3,130
1787,Sarjapur  Road,4395.0,4,242.0,4,194
1788,Iblur Village,1995.0,3,135.0,3,107
1789,Hosakerehalli,1085.0,2,47.74,2,102
1790,Budigere,1139.0,2,56.8,2,52
1791,Haralur Road,1092.0,2,44.0,2,90
1792,others,1767.0,3,98.0,3,230
1793,others,1700.0,3,80.0,3,230
1794,Bellandur,1692.0,3,88.0,3,40
1795,6th Phase JP Nagar,1645.0,3,100.0,3,5
1796,Uttarahalli,1345.0,2,57.0,3,216
1797,Gollarapalya Hosahalli,1408.0,3,62.0,3,81
1798,Thigalarapalya,2072.0,4,150.0,3,210
1799,Electronics City Phase 1,2040.0,3,137.0,3,76
1800,Sarjapur  Road,1220.0,3,56.0,3,194
1801,others,1300.0,2,79.0,2,230
1802,Electronics City Phase 1,1150.0,2,39.0,2,76
1803,KR Puram,1470.0,2,86.0,2,115
1804,Hosa Road,1063.0,2,31.9,2,101
1805,others,1311.0,2,48.0,2,230
1806,others,1400.0,2,55.0,3,230
1807,Vidyaranyapura,1060.0,2,55.0,2,219
1808,Sector 7 HSR Layout,1760.0,3,145.0,3,197
1809,Whitefield,2010.0,3,92.0,3,224
1810,Kanakpura Road,1480.0,2,64.23,3,127
1811,8th Phase JP Nagar,1230.0,2,43.5,3,7
1812,Gottigere,1300.0,3,65.0,3,82
1813,Frazer Town,4850.0,6,385.0,4,77
1814,Singasandra,1100.0,2,52.0,2,201
1815,Harlur,1752.12,3,116.0,3,91
1816,Marathahalli,957.0,2,46.9,2,161
1817,Balagere,790.5,1,41.9,1,25
1818,others,1942.0,3,102.0,3,230
1819,others,1000.0,2,53.0,2,230
1820,Yeshwanthpur,668.0,1,36.85,1,229
1821,Uttarahalli,1089.0,2,43.55,2,216
1822,Thanisandra,1800.0,3,90.0,3,209
1823,Yelahanka,1036.0,2,39.35,2,226
1824,Marathahalli,1583.0,3,105.0,3,161
1825,7th Phase JP Nagar,3300.0,4,150.0,4,6
1826,Padmanabhanagar,1100.0,2,65.0,2,178
1827,Vittasandra,1246.0,2,65.0,2,223
1828,Dodda Nekkundi,850.0,2,28.0,2,67
1829,Raja Rajeshwari Nagar,1196.0,2,51.51,2,184
1830,Thanisandra,1697.0,3,114.0,3,209
1831,TC Palaya,1000.0,2,64.0,2,207
1832,HRBR Layout,1567.0,3,90.0,3,88
1833,Sarjapur  Road,3750.0,6,290.0,4,194
1834,others,950.0,2,45.0,2,230
1835,others,1022.0,2,52.0,2,230
1836,Bharathi Nagar,1322.0,2,68.0,2,42
1837,others,1800.0,4,145.0,4,230
1838,Doddakallasandra,1460.0,2,58.39,3,69
1839,others,990.0,2,44.55,2,230
1840,Whitefield,1635.0,2,85.0,3,224
1841,Padmanabhanagar,3400.0,3,210.0,4,178
1842,EPIP Zone,3035.0,5,200.0,4,73
1843,others,1533.0,3,85.0,3,230
1844,Akshaya Nagar,1720.0,3,134.0,3,11
1845,Yeshwanthpur,1185.0,2,75.84,2,229
1846,Varthur Road,900.0,2,27.0,2,218
1847,Electronic City Phase II,1031.0,2,56.35,2,75
1848,Hennur,1259.0,2,57.0,2,95
1849,Raja Rajeshwari Nagar,1570.0,3,88.0,3,184
1850,Whitefield,1216.0,2,79.0,2,224
1851,Sarjapur  Road,1428.0,2,66.0,3,194
1852,Begur Road,1160.0,2,40.59,2,39
1853,others,1475.0,3,70.0,3,230
1854,Harlur,1754.0,3,135.0,3,91
1855,Rayasandra,1639.0,3,83.0,3,189
1856,Hennur Road,1804.0,3,102.0,3,96
1857,Whitefield,1200.0,3,56.2,3,224
1858,others,1135.0,2,55.0,2,230
1859,Begur Road,1260.0,2,46.62,2,39
1860,Hennur Road,2160.0,3,160.0,3,96
1861,Rachenahalli,1220.0,2,59.5,2,183
1862,Margondanahalli,1200.0,2,67.0,2,162
1863,Yelahanka,1300.0,2,65.0,2,226
1864,Cox Town,605.0,1,29.0,1,62
1865,Bhoganhalli,1444.0,2,75.97,2,43
1866,Amruthahalli,924.0,2,45.0,2,14
1867,Kaikondrahalli,1000.0,2,30.0,2,120
1868,Bisuvanahalli,845.0,2,29.0,2,46
1869,Kanakpura Road,700.0,2,35.0,2,127
1870,Kothanur,1187.0,2,58.0,2,146
1871,Kaggadasapura,1625.0,3,55.0,3,118
1872,Devarachikkanahalli,1200.0,2,83.0,2,66
1873,others,1452.55,2,110.0,2,230
1874,others,2357.0,3,151.0,3,230
1875,Kaval Byrasandra,1200.0,2,49.5,2,133
1876,Budigere,1139.0,2,56.85,2,52
1877,Kanakpura Road,1660.0,3,75.0,3,127
1878,Somasundara Palya,1448.0,2,68.0,2,202
1879,Kadugodi,1762.0,3,110.0,3,117
1880,Kaggadasapura,1105.0,2,38.65,2,118
1881,Yelahanka,1825.0,3,105.0,3,226
1882,Thanisandra,1185.0,2,43.0,2,209
1883,Hulimavu,1058.0,2,48.0,2,105
1884,Bellandur,1220.0,2,60.0,2,40
1885,Old Madras Road,1200.0,2,72.0,2,177
1886,Kengeri,1160.0,2,40.6,3,135
1887,others,1411.0,3,91.72,3,230
1888,Bannerghatta Road,1550.0,3,78.0,3,34
1889,Green Glen Layout,3250.0,4,230.0,4,83
1890,Haralur Road,2475.0,4,130.0,3,90
1891,Jakkur,3181.0,0,260.5,4,110
1892,7th Phase JP Nagar,2503.0,4,188.0,4,6
1893,Marathahalli,2524.0,5,190.0,4,161
1894,Kaggadasapura,1063.0,2,42.0,2,118
1895,Kanakpura Road,1077.0,2,37.7,2,127
1896,others,1200.0,3,44.0,2,230
1897,Hosakerehalli,1500.0,3,70.0,4,102
1898,Jalahalli,1045.0,2,76.77,2,111
1899,Kanakapura,1290.0,2,45.15,3,126
1900,Hoodi,1400.0,2,78.0,2,97
1901,Begur Road,1600.0,3,58.14,3,39
1902,Nagavara,1545.0,2,58.0,3,171
1903,Sarjapur  Road,1680.0,3,112.0,3,194
1904,others,1350.0,2,67.5,2,230
1905,Gottigere,950.0,2,38.0,2,82
1906,Thanisandra,1050.0,2,45.0,2,209
1907,Banashankari Stage V,1305.0,2,49.0,3,29
1908,Kodichikkanahalli,2700.0,7,125.0,5,138
1909,others,1100.0,3,78.0,3,230
1910,Thanisandra,3500.0,5,160.0,6,209
1911,Begur Road,1634.0,3,83.33,3,39
1912,Prithvi Layout,1352.0,2,85.0,2,181
1913,Balagere,1145.0,2,65.0,2,25
1914,others,1240.0,2,43.79,2,230
1915,Bommasandra Industrial Area,1020.0,2,39.0,2,49
1916,Raja Rajeshwari Nagar,1168.0,2,61.0,2,184
1917,Electronic City Phase II,1205.0,2,75.0,2,75
1918,CV Raman Nagar,1028.0,2,49.0,2,53
1919,others,1175.0,2,48.27,2,230
1920,Pai Layout,1550.0,2,90.0,3,179
1921,Hoodi,2400.0,5,160.0,5,97
1922,Yelahanka,1603.0,3,96.0,3,226
1923,Marathahalli,1350.0,3,72.0,3,161
1924,KR Puram,714.0,1,28.0,1,115
1925,Whitefield,1215.0,2,65.0,2,224
1926,Malleshpalya,1405.0,2,77.0,3,159
1927,KR Puram,1142.0,2,51.0,2,115
1928,others,4000.0,4,170.0,4,230
1929,Whitefield,1870.0,3,90.0,3,224
1930,Subramanyapura,1313.0,2,73.0,2,205
1931,others,1945.0,3,120.0,3,230
1932,Thanisandra,1573.0,3,95.0,3,209
1933,Sarjapur  Road,1255.0,2,92.0,2,194
1934,Benson Town,1400.0,3,91.15,4,41
1935,Kannamangala,1235.0,2,43.63,2,128
1936,Sarjapur  Road,1380.0,2,52.0,3,194
1937,others,1465.0,2,74.72,3,230
1938,Thigalarapalya,1418.0,2,103.0,2,210
1939,Anekal,351.0,1,16.0,1,17
1940,Uttarahalli,1279.0,2,48.0,2,216
1941,Uttarahalli,1845.0,2,68.27,3,216
1942,others,1360.0,2,59.27,3,230
1943,others,1150.0,2,75.0,3,230
1944,Whitefield,1260.0,2,49.5,2,224
1945,others,1200.0,3,74.0,3,230
1946,Dasanapura,965.0,2,42.5,2,63
